Metric,Validation,Test
da,51.6,52.2
mw_da,50.411822441951294,48.6637534045453
rank_ic,-0.007301587301587304,0.06147186147186147
hit_rate,49.2700926524456,54.21686746987952
ann_return_long,-5.167902148122063,16.914926677059412
ann_return_ls,-14.983167420814485,-15.047132530120477
ann_return_bench,2.323681562285181,24.438492942119655
sharpe_long,-0.30201209310838056,0.4292589105266012
sharpe_ls,-294.88972859486665,-417.56840604094185
sharpe_bench,-0.055216254990080677,0.6793407248182932
mdd_long,65.42636864529948,40.96402701222418
mdd_ls,48.003823554273865,62.77538686185403
mdd_bench,62.64408402492177,35.99271085504425
calmar_long,-0.07898806330119237,0.41292148040064
calmar_ls,-0.3121244582501701,-0.23969796575262506
win_rate_long,51.58371040723983,53.915662650602414
win_rate_ls,0.0,0.0
